CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Taiwan,1078,2,11,1038,4,29,45,0.5,20/4/2021
Bhutan,966,5,1,,883,,2,,20/4/2021
St. Barth,934,,1,,462,,471,,20/4/2021
Diamond Princess,712,,13,,699,,0,,20/4/2021
Faeroe Islands,663,,1,,1,,660,,20/4/2021
Cayman Islands,531,6,2,,508,9,21,,20/4/2021
Tanzania,509,,21,,183,,305,7,20/4/2021
Wallis and Futuna,439,,1,,5,,44,390,20/4/2021
Brunei,223,,2,,3,,210,,20/4/2021
British Virgin Islands,187,,1,,182,,4,,20/4/2021
Dominica,172,,,,165,,7,,20/4/2021
Grenada,157,,1,,154,,2,,20/4/2021
New Caledonia,124,,,,58,,66,,20/4/2021
Fiji,77,,3,,2,,65,,20/4/2021
