,CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
202,Fiji,68,0.0,2.0,0.0,64.0,2.0,0.0,75,2.0,40300.0,44703.0,901508
203,Falkland Islands,60,0.0,0.0,0.0,54.0,6.0,0.0,16863,0.0,7165.0,2013772.0,3558
204,Laos,52,0.0,0.0,0.0,49.0,3.0,0.0,7,0.0,143481.0,19501.0,7357605
205,Macao,49,0.0,0.0,0.0,48.0,1.0,0.0,75,0.0,4418.0,6733.0,656216
206,Saint Kitts and Nevis,44,0.0,0.0,0.0,44.0,0.0,0.0,823,0.0,12381.0,231455.0,53492
207,Greenland,31,0.0,0.0,0.0,31.0,0.0,0.0,545,0.0,20669.0,363590.0,56847
208,Vatican City,27,0.0,0.0,0.0,15.0,12.0,0.0,33624,0.0,0.0,0.0,803
209,Anguilla,25,0.0,0.0,0.0,22.0,3.0,0.0,1655,0.0,14579.0,965049.0,15107
210,Saint Pierre Miquelon,24,0.0,0.0,0.0,24.0,0.0,0.0,4158,0.0,5126.0,888080.0,5772
211,Montserrat,20,0.0,1.0,0.0,19.0,0.0,0.0,4005,200.0,1313.0,262915.0,4994
212,Solomon Islands,19,0.0,0.0,0.0,18.0,1.0,0.0,27,0.0,4500.0,6429.0,699918
213,Western Sahara,10,0.0,1.0,0.0,8.0,1.0,0.0,16,2.0,0.0,0.0,608703
214,Marshall Islands,4,0.0,0.0,0.0,4.0,0.0,0.0,67,0.0,0.0,0.0,59501
215,Samoa,3,0.0,0.0,0.0,2.0,1.0,0.0,15,0.0,0.0,0.0,199442
216,Vanuatu,3,0.0,0.0,0.0,1.0,2.0,0.0,10,0.0,470.0,1503.0,312702
217,Micronesia,1,0.0,0.0,0.0,1.0,0.0,0.0,9,0.0,0.0,0.0,115962
218,China,90435,9.0,4636.0,0.0,85506.0,293.0,4.0,63,3.0,160000000.0,111163.0,1439323776
