CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
Isle of Man,"1,574",,29 ,,"1,445",100,,"18,434",340,"44,761","524,232","85,384"
Caribbean Netherlands,"1,519",,14 ,,"1,396",109,,"57,510",530,"10,011","379,018","26,413"
Antigua and Barbuda,"1,198",,30 ,,938,230,45,"12,155",304,"16,493","167,338","98,561"
Mauritius,"1,197",+4,15 ,,797,385,,940,12,"358,675","281,664","1,273,416"
Taiwan,"1,062",+4,11 ,,"1,027",24,,45,0.5,"513,203","21,518","23,850,438"
Timor-Leste,"1,046",,1 ,,550,495,,782,0.7,"50,556","37,787","1,337,923"
Bhutan,921,,1 ,,875,45,,"1,183",1,"652,722","838,737","778,220"
St. Barth,907,,1 ,,462,444,,"91,607",101,"26,385","2,664,882","9,901"
Faeroe Islands,661,,1 ,,660,0,,"13,488",20,"246,793","5,035,770","49,008"
Cayman Islands,516,,2 ,,487,27,,"7,780",30,"84,802","1,278,641","66,322"
Tanzania,509,,21 ,,183,305,7,8,0.3,,,"61,048,540"
Wallis and Futuna,437,,5 ,,44,388,3,"39,426",451,"1,331","120,083","11,084"
Brunei ,219,,3 ,,206,10,,497,7,"116,596","264,545","440,741"
British Virgin Islands,178,,1 ,,159,18,,"5,858",33,"13,223","435,139","30,388"
Dominica,165,, ,,159,6,,"2,288",,"13,500","187,172","72,126"
Grenada,155,,1 ,,152,2,,"1,373",9,"23,989","212,424","112,930"
New Caledonia,121,, ,,58,63,,421,,"29,182","101,455","287,635"
Fiji,68,,2 ,,64,2,,75,2,"40,300","44,703","901,508"
Falkland Islands,60,, ,,54,6,,"16,863",,"7,165","2,013,772","3,558"
Laos,52,, ,,49,3,,7,,"143,481","19,501","7,357,605"
Macao,49,, ,,48,1,,75,,"4,418","6,733","656,216"
Saint Kitts and Nevis,44,, ,,44,0,,823,,"12,381","231,455","53,492"
Greenland,31,, ,,31,0,,545,,"20,669","363,590","56,847"
Vatican City,27,, ,,15,12,,"33,624",,,,803
Anguilla,25,, ,,22,3,,"1,655",,"14,579","965,049","15,107"
Saint Pierre Miquelon,24,, ,,24,0,,"4,158",,"5,126","888,080","5,772"
Montserrat,20,,1 ,,19,0,,"4,005",200,"1,313","262,915","4,994"
Solomon Islands,19,, ,,18,1,,27,,"4,500","6,429","699,918"
Western Sahara,10,,1 ,,8,1,,16,2,,,"608,703"
Marshall Islands,4,, ,,4,0,,67,,,,"59,501"
Samoa,3,, ,,2,1,,15,,,,"199,442"
Vanuatu,3,, ,,1,2,,10,,470,"1,503","312,702"
Micronesia,1,, ,,1,0,,9,,,,"115,962"
China,"90,435",+9,"4,636 ",,"85,506",293,4,63,3,"160,000,000","111,163","1,439,323,776 "
